Model,Image_Index,File_Name,Method,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%),Leakage_Percentage(%),Propagation_Continuity,Inference_Time(s)
DeiT-Tiny,32,n02484322_11526_monkey.jpg,Conventional LRP (z+),5.427204,4.934824,0.49238014,0.09072445593316492,9.072445593316491,9.072446823120117,0.9092755317687988,0.0758509635925293
DeiT-Tiny,33,n03255030_9287_dumbbell.jpg,Conventional LRP (z+),15.557161,-0.19992185,15.757083,1.0128507767389219,101.28507767389219,101.28507921472192,-0.012850792147219181,0.07609295845031738
DeiT-Tiny,34,n03793489_1770_computer_mouse.jpg,Conventional LRP (z+),1.5227332,-9.48959,11.012323,7.2319453526014446,723.1945352601444,723.1945037841797,-6.231945037841797,0.07476472854614258
DeiT-Tiny,35,n02787622_7389_banjo.jpg,Conventional LRP (z+),9.219808,39.459385,30.239578,3.2798491545956763,327.9849154595676,327.9849052429199,4.279849052429199,0.07567119598388672
DeiT-Tiny,36,n04442312_5180_toaster.jpg,Conventional LRP (z+),41.608868,39.784817,1.8240509,0.04383803276809687,4.383803276809687,4.38380241394043,0.9561619758605957,0.07689428329467773
DeiT-Tiny,37,n06874185_10683_traffic_light.jpg,Conventional LRP (z+),10.55602,10.180135,0.375885,0.03560859277041614,3.5608592770416143,3.560858964920044,0.9643914103507996,0.07614278793334961
DeiT-Tiny,38,n01443537_2625_goldfish.jpg,Conventional LRP (z+),6.2140374,5.7416005,0.4724369,0.07602736723710743,7.602736723710743,7.602739334106445,0.9239726066589355,0.0755927562713623
DeiT-Tiny,39,n04317175_7903_stethoscope.jpg,Conventional LRP (z+),7.304316,-711.1521,718.4564,98.36053320894082,9836.053320894081,9836.053466796875,-97.36053466796875,0.07654881477355957
DeiT-Tiny,40,n04442312_12329_toaster.jpg,Conventional LRP (z+),10.087836,5.2786374,4.809199,0.4767324458163345,47.67324458163345,47.673243284225464,0.5232675671577454,0.08283066749572754
DeiT-Tiny,41,n02346627_3512_porcupine.jpg,Conventional LRP (z+),5.2137413,-0.028586388,5.2423277,1.0054828931798248,100.54828931798248,100.54828934371471,-0.0054828934371471405,0.07953310012817383
DeiT-Tiny,42,n04116512_9541_rubber_eraser.jpg,Conventional LRP (z+),18.181461,17.776817,0.404644,0.022255857490790967,2.2255857490790967,2.225583791732788,0.9777441620826721,0.07655739784240723
DeiT-Tiny,43,n07753592_9306_banana.jpg,Conventional LRP (z+),13.995239,12.7325735,1.2626657,0.09022109056128626,9.022109056128626,9.0221107006073,0.909778892993927,0.07696986198425293
DeiT-Tiny,44,n02924116_58545_bus.jpg,Conventional LRP (z+),5.9213524,5.754696,0.1666565,0.028145005268247873,2.814500526824787,2.8145015239715576,0.9718549847602844,0.07586956024169922
DeiT-Tiny,45,n07747607_813_orange.jpg,Conventional LRP (z+),7.573555,5.777433,1.7961221,0.23715706502785422,23.715706502785423,23.715704679489136,0.7628429532051086,0.07704448699951172
DeiT-Tiny,46,n02342885_7641_hamster.jpg,Conventional LRP (z+),7.7297654,47.395027,39.66526,5.131496000105517,513.1496000105517,513.1495952606201,6.131495952606201,0.0779120922088623
DeiT-Tiny,47,n02454379_10511_armadillo.jpg,Conventional LRP (z+),7.1829476,5.859583,1.3233647,0.18423700151971806,18.423700151971804,18.4237003326416,0.815762996673584,0.07655072212219238
DeiT-Tiny,48,n04330267_15330_stove.jpg,Conventional LRP (z+),9.770388,8.407635,1.3627529,0.13947787571703282,13.947787571703282,13.947784900665283,0.8605221509933472,0.07580137252807617
DeiT-Tiny,49,n02892767_5122_brassiere.jpg,Conventional LRP (z+),2.6350958,1.7690839,0.866012,0.3286453439197793,32.86453439197793,32.864534854888916,0.6713546514511108,0.0777900218963623
DeiT-Tiny,50,n07873807_1051_pizza.jpg,Conventional LRP (z+),17.22074,15.860041,1.3606987,0.07901511491820111,7.901511491820111,7.901513576507568,0.9209848642349243,0.07509636878967285
DeiT-Tiny,51,n02084071_77_dog.jpg,Conventional LRP (z+),2.2470152,0.47452712,1.7724881,0.7888189125758267,78.88189125758267,78.88189107179642,0.21118108928203583,0.07602858543395996
DeiT-Tiny,52,n03062245_872_cocktail_shaker.jpg,Conventional LRP (z+),5.9221907,5.2610884,0.6611023,0.11163137630531314,11.163137630531313,11.163139343261719,0.8883686065673828,0.07681989669799805
DeiT-Tiny,53,n02118333_6_fox.jpg,Conventional LRP (z+),24.574482,31.353498,6.7790165,0.2758559266630818,27.58559266630818,27.58558988571167,1.2758558988571167,0.07674765586853027
DeiT-Tiny,54,n02992211_25528_cello.jpg,Conventional LRP (z+),10.277993,9.320724,0.95726967,0.09313779934006751,9.313779934006751,9.313780069351196,0.906862199306488,0.07655215263366699
DeiT-Tiny,55,n04542943_3211_waffle_iron.jpg,Conventional LRP (z+),6.220283,14.936607,8.716324,1.4012744769086256,140.12744769086257,140.12744426727295,2.4012744426727295,0.07698512077331543
DeiT-Tiny,56,n02951585_3935_can_opener.jpg,Conventional LRP (z+),26.281746,24.855377,1.4263687,0.05427222065741575,5.427222065741575,5.427223443984985,0.9457277655601501,0.07755541801452637
DeiT-Tiny,57,n03814639_5954_neck_brace.jpg,Conventional LRP (z+),4.3195353,71.569176,67.24964,15.568721500378311,1556.872150037831,1556.8721771240234,16.568721771240234,0.0761260986328125
DeiT-Tiny,58,n02777292_14330_balance_beam.jpg,Conventional LRP (z+),16.668995,16.12088,0.5481148,0.032882293128618,3.2882293128618,3.2882273197174072,0.9671177268028259,0.07474970817565918
DeiT-Tiny,59,n04442312_14257_toaster.jpg,Conventional LRP (z+),11.304127,10.536959,0.76716805,0.06786619282100155,6.786619282100155,6.786620616912842,0.9321337938308716,0.07702493667602539
DeiT-Tiny,60,n01770393_9910_scorpion.jpg,Conventional LRP (z+),10.6671505,142.8289,132.16176,12.3896028693157,1238.96028693157,1238.9602661132812,13.389602661132812,0.0764005184173584
DeiT-Tiny,61,n04252077_2529_snowmobile.jpg,Conventional LRP (z+),17.084011,18.847416,1.7634048,0.10321960329160144,10.321960329160145,10.321962833404541,1.1032196283340454,0.0764617919921875
DeiT-Tiny,62,n03337140_18624_filing_cabinet.jpg,Conventional LRP (z+),3.5746193,-18.804033,22.378653,6.2604296376013036,626.0429637601303,626.0429859161377,-5.260429859161377,0.07654953002929688
DeiT-Tiny,63,n03633091_27358_ladle.jpg,Conventional LRP (z+),5.5018463,5.331189,0.17065716,0.031018161566765845,3.1018161566765845,3.101813793182373,0.9689818620681763,0.0771796703338623
DeiT-Tiny,64,n02206856_5952_bee.jpg,Conventional LRP (z+),5.473348,5.170588,0.30276012,0.055315341974865,5.5315341974865,5.531531572341919,0.9446846842765808,0.07488322257995605
DeiT-Tiny,65,n03062245_2005_cocktail_shaker.jpg,Conventional LRP (z+),30.129517,29.573296,0.556221,0.01846100007636614,1.846100007636614,1.8460988998413086,0.9815390110015869,0.0781698226928711
DeiT-Tiny,66,n02062744_3014_whale.jpg,Conventional LRP (z+),18.542755,16.059038,2.483717,0.13394541143335742,13.394541143335742,13.394540548324585,0.8660545945167542,0.07653641700744629
DeiT-Tiny,67,n03710721_15514_maillot.jpg,Conventional LRP (z+),3.4390388,-2.531402,5.970441,1.7360783901414618,173.60783901414618,173.6078381538391,-0.7360783815383911,0.07653093338012695
DeiT-Tiny,68,n02815834_1310_beaker.jpg,Conventional LRP (z+),13.787334,322.006,308.2187,22.35520507868946,2235.520507868946,2235.520362854004,23.35520362854004,0.0782766342163086
DeiT-Tiny,69,n04517823_9843_vacuum.jpg,Conventional LRP (z+),9.165074,7.9778185,1.1872559,0.1295413233004799,12.95413233004799,12.954133749008179,0.8704586625099182,0.0784311294555664
DeiT-Tiny,70,n03928116_38427_piano.jpg,Conventional LRP (z+),19.82499,18.632982,1.1920071,0.060126492155330745,6.012649215533075,6.012648344039917,0.9398735165596008,0.07769036293029785
DeiT-Tiny,71,n03908714_4340_pencil_sharpener.jpg,Conventional LRP (z+),41.137115,40.401936,0.7351799,0.017871449968074025,1.7871449968074025,1.7871439456939697,0.9821285605430603,0.07807803153991699
DeiT-Tiny,72,n07693725_10941_bagel.jpg,Conventional LRP (z+),20.246847,20.107172,0.13967514,0.006898611883641636,0.6898611883641637,0.6898641586303711,0.9931013584136963,0.07758641242980957
DeiT-Tiny,73,n04591157_2640_tie.jpg,Conventional LRP (z+),7.6058726,267.75357,260.1477,34.20353162122584,3420.3531621225843,3420.3529357910156,35.203529357910156,0.07577848434448242
DeiT-Tiny,74,n03000684_16691_chain_saw.jpg,Conventional LRP (z+),7.484898,6.752837,0.7320609,0.09780506031418472,9.780506031418472,9.780508279800415,0.9021949172019958,0.0772852897644043
DeiT-Tiny,75,n03770439_3065_miniskirt.jpg,Conventional LRP (z+),21.217848,19.88642,1.3314285,0.0627504042260688,6.27504042260688,6.275039911270142,0.9372496008872986,0.07746434211730957
DeiT-Tiny,76,n02411705_3019_sheep.jpg,Conventional LRP (z+),3.4081209,3.2381434,0.16997743,0.04987423654655187,4.987423654655187,4.987424612045288,0.9501257538795471,0.07507514953613281
DeiT-Tiny,77,n04118776_1258_ruler.jpg,Conventional LRP (z+),3.9238524,-57.795193,61.719044,15.729195886336592,1572.9195886336593,1572.9196548461914,-14.729196548461914,0.07769584655761719
DeiT-Tiny,78,n01982650_3364_lobster.jpg,Conventional LRP (z+),1.9170334,1.5639907,0.35304272,0.18416096209827237,18.416096209827238,18.41609477996826,0.8158390522003174,0.07741618156433105
DeiT-Tiny,79,n01776313_1303_tick.jpg,Conventional LRP (z+),26.093992,24.665928,1.4280643,0.05472770641962595,5.472770641962596,5.472773313522339,0.9452722668647766,0.07831072807312012
DeiT-Tiny,80,n04004767_2519_printer.jpg,Conventional LRP (z+),35.442657,34.397682,1.0449753,0.029483547659935237,2.948354765993524,2.9483556747436523,0.9705164432525635,0.07637619972229004
DeiT-Tiny,81,n02503517_6661_elephant.jpg,Conventional LRP (z+),11.61363,11.462641,0.15098953,0.013001062426217418,1.3001062426217418,1.3001084327697754,0.9869989156723022,0.07598304748535156
DeiT-Tiny,82,n04336792_143_stretcher.jpg,Conventional LRP (z+),14.003842,11.882407,2.1214352,0.1514895063550164,15.14895063550164,15.14894962310791,0.8485105037689209,0.07658171653747559
DeiT-Tiny,83,n02807133_2901_bathing_cap.jpg,Conventional LRP (z+),11.264498,11.514771,0.2502737,0.022217919511946124,2.2217919511946125,2.2217869758605957,1.022217869758606,0.0776517391204834
DeiT-Tiny,84,n02062744_3044_whale.jpg,Conventional LRP (z+),30.850328,29.408659,1.4416695,0.04673108964186553,4.673108964186553,4.673111438751221,0.9532688856124878,0.07871222496032715
DeiT-Tiny,85,n04557648_2511_water_bottle.jpg,Conventional LRP (z+),6.442334,1.6643322,4.778002,0.741656929719139,74.1656929719139,74.16569590568542,0.25834304094314575,0.07820796966552734
DeiT-Tiny,86,n07753275_25056_pineapple.jpg,Conventional LRP (z+),5.3783402,4.8614826,0.5168576,0.09609983758581964,9.609983758581963,9.6099853515625,0.903900146484375,0.07853579521179199
DeiT-Tiny,87,n04591713_5607_wine_bottle.jpg,Conventional LRP (z+),22.134785,21.916985,0.21780014,0.009839722560568379,0.9839722560568378,0.983971357345581,0.9901602864265442,0.07745671272277832
DeiT-Tiny,88,n02121808_5315_domestic_cat.jpg,Conventional LRP (z+),2.4686012,0.94282675,1.5257745,0.618072478343539,61.807247834353895,61.80724799633026,0.3819275200366974,0.07776117324829102
DeiT-Tiny,89,n07734744_5110_mushroom.jpg,Conventional LRP (z+),13.965643,12.363461,1.6021824,0.11472313851409728,11.472313851409728,11.472314596176147,0.8852768540382385,0.07673954963684082
DeiT-Tiny,90,n07739125_9099_apple.jpg,Conventional LRP (z+),12.155712,7.203127,4.952585,0.4074286366694717,40.74286366694717,40.74286222457886,0.5925713777542114,0.0775904655456543
DeiT-Tiny,91,n03271574_692_electric_fan.jpg,Conventional LRP (z+),2.5040555,0.62265164,1.8814039,0.7513427407101784,75.13427407101784,75.13427138328552,0.24865728616714478,0.07726573944091797
DeiT-Tiny,92,n03950228_10344_pitcher.jpg,Conventional LRP (z+),18.4989,14.77808,3.7208195,0.20113734231289637,20.113734231289637,20.113736391067505,0.798862636089325,0.07547235488891602
DeiT-Tiny,93,n04530566_8181_watercraft.jpg,Conventional LRP (z+),7.14102,4.443617,2.697403,0.3777335760542696,37.77335760542696,37.7733588218689,0.622266411781311,0.0768284797668457
DeiT-Tiny,94,n03000684_3268_chain_saw.jpg,Conventional LRP (z+),3.3476143,3.2502427,0.09737158,0.02908685702737834,2.908685702737834,2.9086828231811523,0.9709131717681885,0.07622599601745605
DeiT-Tiny,95,n02355227_12248_squirrel.jpg,Conventional LRP (z+),17.512989,15.1564665,2.3565226,0.13455855845275763,13.455855845275764,13.45585584640503,0.8654414415359497,0.07732319831848145
DeiT-Tiny,96,n03001627_6675_chair.jpg,Conventional LRP (z+),7.6409006,4.9628177,2.678083,0.35049310004755097,35.0493100047551,35.049307346343994,0.6495069265365601,0.07584857940673828
DeiT-Tiny,97,n02970849_5009_cart.jpg,Conventional LRP (z+),5.3936434,2.044764,3.3488793,0.6208937264182858,62.089372641828575,62.08937168121338,0.3791062831878662,0.07704353332519531
DeiT-Tiny,98,n02444819_7927_otter.jpg,Conventional LRP (z+),13.793888,12.626609,1.1672792,0.08462293122836975,8.462293122836975,8.462291955947876,0.9153770804405212,0.07672238349914551
DeiT-Tiny,99,n04023962_20755_punching_bag.jpg,Conventional LRP (z+),6.6201077,190.87004,184.24994,27.831864473676305,2783.1864473676305,2783.1863403320312,28.831863403320312,0.07427835464477539
DeiT-Tiny,100,n02777292_18680_balance_beam.jpg,Conventional LRP (z+),9.066078,484.6953,475.62924,52.46251269082674,5246.251269082674,5246.25129699707,53.4625129699707,0.07837653160095215
DeiT-Tiny,101,n07753113_12066_fig.jpg,Conventional LRP (z+),22.838362,18.16285,4.6755123,0.20472187833973157,20.47218783397316,20.47218680381775,0.7952781319618225,0.07603931427001953
DeiT-Tiny,102,n04039381_8917_racket.jpg,Conventional LRP (z+),3.1078308,3.1088145,0.000983715,0.00031652787172691774,0.03165278717269177,0.03165006637573242,1.0003165006637573,0.07609415054321289
DeiT-Tiny,103,n03961711_9189_plate_rack.jpg,Conventional LRP (z+),11.702317,10.142159,1.5601578,0.13332041372958806,13.332041372958805,13.33203911781311,0.8666796088218689,0.0780482292175293
DeiT-Tiny,104,n01982650_8073_lobster.jpg,Conventional LRP (z+),13.763421,12.61925,1.1441708,0.08313127645730084,8.313127645730084,8.313125371932983,0.9168687462806702,0.07770967483520508
DeiT-Tiny,105,n03838899_34130_oboe.jpg,Conventional LRP (z+),26.96174,26.642199,0.31954193,0.0118516803918603,1.18516803918603,1.185166835784912,0.9881483316421509,0.0786888599395752
DeiT-Tiny,106,n07693725_1357_bagel.jpg,Conventional LRP (z+),20.094404,254.23961,234.1452,11.652259009762066,1165.2259009762065,1165.225887298584,12.65225887298584,0.07677292823791504
DeiT-Tiny,107,n02391049_2847_zebra.jpg,Conventional LRP (z+),12.927931,7.8519945,5.0759363,0.39263331333136525,39.26333133313653,39.2633318901062,0.607366681098938,0.07541942596435547
DeiT-Tiny,108,n03633091_11227_ladle.jpg,Conventional LRP (z+),6.8361983,4.9627786,1.8734198,0.27404409160903864,27.404409160903864,27.404409646987915,0.7259559035301208,0.07518243789672852
DeiT-Tiny,109,n04252077_1991_snowmobile.jpg,Conventional LRP (z+),4.1122136,3.5431635,0.5690501,0.13838047514839164,13.838047514839163,13.838046789169312,0.8616195321083069,0.07749342918395996
DeiT-Tiny,110,n07873807_9267_pizza.jpg,Conventional LRP (z+),10.292553,9.334501,0.9580517,0.09308202603046298,9.308202603046297,9.30820107460022,0.9069179892539978,0.07606720924377441
DeiT-Tiny,111,n02355227_12611_squirrel.jpg,Conventional LRP (z+),12.385104,10.091383,2.2937212,0.1851999923156753,18.51999923156753,18.519997596740723,0.8148000240325928,0.07802629470825195
DeiT-Tiny,112,n03337140_6179_filing_cabinet.jpg,Conventional LRP (z+),14.657196,4.6458797,10.011316,0.683030797164234,68.3030797164234,68.30307841300964,0.31696921586990356,0.08083748817443848
DeiT-Tiny,113,n03062245_2732_cocktail_shaker.jpg,Conventional LRP (z+),9.859591,9.858003,0.0015878677,0.00016104804066256314,0.016104804066256313,0.016105175018310547,0.9998389482498169,0.08505463600158691
DeiT-Tiny,114,n02786058_2393_band_aid.jpg,Conventional LRP (z+),35.355705,33.951122,1.404583,0.039727194433748135,3.9727194433748134,3.9727210998535156,0.9602727890014648,0.0831456184387207
DeiT-Tiny,115,n03958227_1109_plastic_bag.jpg,Conventional LRP (z+),13.321711,12.942182,0.379529,0.02848950942406517,2.848950942406517,2.8489530086517334,0.9715104699134827,0.10781574249267578
DeiT-Tiny,116,n04070727_39078_refrigerator.jpg,Conventional LRP (z+),14.691935,16.403797,1.7118626,0.11651716484305541,11.651716484305542,11.651718616485596,1.116517186164856,0.07863354682922363
DeiT-Tiny,117,n03720891_10274_maraca.jpg,Conventional LRP (z+),10.925571,9.437861,1.48771,0.13616770590844035,13.616770590844036,13.616770505905151,0.8638322949409485,0.07710933685302734
DeiT-Tiny,118,n02454379_6001_armadillo.jpg,Conventional LRP (z+),9.64335,9.468239,0.17511082,0.01815871282676196,1.8158712826761962,1.815873384475708,0.9818412661552429,0.07634377479553223
DeiT-Tiny,119,n04070727_16103_refrigerator.jpg,Conventional LRP (z+),9.380709,7.842679,1.5380297,0.16395666048771154,16.395666048771155,16.39566421508789,0.8360433578491211,0.07826733589172363
DeiT-Tiny,120,n02880940_18435_bowl.jpg,Conventional LRP (z+),4.1560626,-2855.2004,2859.3564,687.9964807466321,68799.6480746632,68799.65209960938,-686.9965209960938,0.0786430835723877
DeiT-Tiny,121,n04540053_735_volleyball.jpg,Conventional LRP (z+),6.493714,5.428158,1.065556,0.16409039154695665,16.409039154695666,16.40903949737549,0.8359096050262451,0.07756614685058594
DeiT-Tiny,122,n04332243_12542_strainer.jpg,Conventional LRP (z+),11.573372,10.582881,0.9904909,0.08558360717678122,8.558360717678122,8.55836272239685,0.9144163727760315,0.07553911209106445
DeiT-Tiny,123,n04336792_7621_stretcher.jpg,Conventional LRP (z+),50.21676,42.344193,7.872566,0.1567716918096083,15.67716918096083,15.6771719455719,0.843228280544281,0.0769033432006836
DeiT-Tiny,124,n01882714_14215_koala_bear.jpg,Conventional LRP (z+),3.0734782,2.0716786,1.0017996,0.32594979068762836,32.59497906876284,32.59497880935669,0.6740502119064331,0.07726001739501953
DeiT-Tiny,125,n02503517_9218_elephant.jpg,Conventional LRP (z+),2.9799805,5.371122,2.3911414,0.8024017066269344,80.24017066269344,80.24016618728638,1.8024016618728638,0.07812190055847168
DeiT-Tiny,126,n04509417_2993_unicycle.jpg,Conventional LRP (z+),6.733621,5.122463,1.6111579,0.23927064874521625,23.927064874521626,23.92706274986267,0.7607293725013733,0.09058022499084473
DeiT-Tiny,127,n07753592_862_banana.jpg,Conventional LRP (z+),4.67579,3.0822942,1.5934956,0.3407970982283109,34.07970982283109,34.07971262931824,0.6592028737068176,0.0880882740020752
DeiT-Tiny,128,n04409515_6040_tennis_ball.jpg,Conventional LRP (z+),7.4051776,16.448944,9.043766,1.2212760472853226,122.12760472853226,122.1276044845581,2.221276044845581,0.08365941047668457
DeiT-Tiny,129,n02870880_2338_bookshelf.jpg,Conventional LRP (z+),2.1977696,1.0934559,1.1043137,0.5024701905283974,50.24701905283974,50.24701952934265,0.4975298047065735,0.08145642280578613
DeiT-Tiny,130,n03124170_1312_hat_with_a_wide_brim.jpg,Conventional LRP (z+),12.812672,11.108512,1.7041597,0.13300580718363247,13.300580718363248,13.30057978630066,0.8669942021369934,0.08356976509094238
DeiT-Tiny,131,n02777292_4842_balance_beam.jpg,Conventional LRP (z+),10.186642,12.748931,2.5622892,0.25153424601714364,25.153424601714363,25.153422355651855,1.2515342235565186,0.08162093162536621
DeiT-Tiny,132,n01944390_7154_snail.jpg,Conventional LRP (z+),18.48436,17.09192,1.3924389,0.07533065293952418,7.533065293952418,7.533067464828491,0.9246693253517151,0.08058834075927734
DeiT-Tiny,133,n02445715_13210_skunk.jpg,Conventional LRP (z+),17.67745,17.752527,0.07507706,0.00424705238118739,0.424705238118739,0.42470693588256836,1.0042470693588257,0.07791733741760254
DeiT-Tiny,134,n03761084_13411_microwave.jpg,Conventional LRP (z+),20.250813,19.539528,0.71128464,0.03512375794028788,3.512375794028788,3.512376546859741,0.9648762345314026,0.07926630973815918
DeiT-Tiny,135,n04154565_1120_screwdriver.jpg,Conventional LRP (z+),8.132122,-317.61234,325.74445,40.05651220759833,4005.651220759833,4005.6514739990234,-39.056514739990234,0.07842826843261719
DeiT-Tiny,136,n02870880_1312_bookshelf.jpg,Conventional LRP (z+),6.821156,6.539825,0.28133106,0.041243897844782065,4.124389784478207,4.124391078948975,0.9587560892105103,0.07925677299499512
DeiT-Tiny,137,n02445715_1874_skunk.jpg,Conventional LRP (z+),3.5290406,2.888561,0.64047956,0.18148829713590783,18.148829713590782,18.14882755279541,0.8185117244720459,0.08210444450378418
