Model,Image_Index,File_Name,Method,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%),Leakage_Percentage(%),Propagation_Continuity,Inference_Time(s)
DeiT-Tiny,436,n04409515_22090_tennis_ball.jpg,TFRP Framework (z+),8.127797,7.42807,0.69972706,0.08609062,8.609061,8.609061241149902,0.913909375667572,0.327775239944458
DeiT-Tiny,437,n01784675_2573_centipede.jpg,Conventional LRP (z+),12.392732,6.6487,5.7440314,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,437,n01784675_2573_centipede.jpg,TFRP Framework (z+),12.392732,9.959717,2.4330149,0.19632596,19.632595,19.63258934020996,0.803674042224884,0.3289833068847656
DeiT-Tiny,438,n07734744_5655_mushroom.jpg,Conventional LRP (z+),26.423128,14.176007,12.247121,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,438,n07734744_5655_mushroom.jpg,TFRP Framework (z+),26.423128,24.416138,2.0069904,0.07595582,7.5955825,7.595582485198975,0.9240441918373108,0.3224775791168213
DeiT-Tiny,439,n03950228_18009_pitcher.jpg,Conventional LRP (z+),12.587073,6.7529645,5.834109,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,439,n03950228_18009_pitcher.jpg,TFRP Framework (z+),12.587073,12.5894165,0.0023431778,0.00018615747,0.018615747,-0.01860816963016987,1.0001862049102783,0.32352304458618164
DeiT-Tiny,440,n02787622_7140_banjo.jpg,Conventional LRP (z+),19.561893,10.494955,9.066938,0.46350005,46.350006,46.35,0.5364999771118164,0.0
DeiT-Tiny,440,n02787622_7140_banjo.jpg,TFRP Framework (z+),19.561893,19.447914,0.11397934,0.0058266004,0.58266,0.5826406478881836,0.9941734075546265,0.32550525665283203
DeiT-Tiny,441,n01776313_12698_tick.jpg,Conventional LRP (z+),19.926752,10.690702,9.23605,0.4635,46.35,46.35,0.5364999771118164,0.0
DeiT-Tiny,441,n01776313_12698_tick.jpg,TFRP Framework (z+),19.926752,16.617393,3.3093586,0.16607617,16.607616,16.607616424560547,0.8339238166809082,0.32510972023010254
DeiT-Tiny,442,n04371430_4930_swimming_trunks.jpg,Conventional LRP (z+),23.602148,12.662552,10.939596,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,442,n04371430_4930_swimming_trunks.jpg,TFRP Framework (z+),23.602148,23.61573,0.01358223,0.00057546585,0.057546586,-0.05754658579826355,1.0005754232406616,0.32037806510925293
DeiT-Tiny,443,n02892767_14415_brassiere.jpg,Conventional LRP (z+),7.1840677,3.854252,3.3298156,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,443,n02892767_14415_brassiere.jpg,TFRP Framework (z+),7.1840677,7.183502,0.00056552887,7.8719866e-05,0.007871986,0.007865349762141705,0.9999212622642517,0.3199760913848877
DeiT-Tiny,444,n02219486_28997_ant.jpg,Conventional LRP (z+),46.086864,24.725601,21.361263,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,444,n02219486_28997_ant.jpg,TFRP Framework (z+),46.086864,-163.18863,209.2755,4.5408926,454.08926,454.0892639160156,-3.5408923625946045,0.331341028213501
DeiT-Tiny,445,n02769748_3362_backpack.jpg,Conventional LRP (z+),32.881966,17.641174,15.240791,0.4635,46.35,46.35,0.5364999771118164,0.0
DeiT-Tiny,445,n02769748_3362_backpack.jpg,TFRP Framework (z+),32.881966,33.023895,0.14192963,0.0043163365,0.43163365,-0.4316336512565613,1.0043163299560547,0.3352193832397461
DeiT-Tiny,446,n04332243_12293_strainer.jpg,Conventional LRP (z+),12.763293,6.8475065,5.9157867,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,446,n04332243_12293_strainer.jpg,TFRP Framework (z+),12.763293,12.6467285,0.11656475,0.009132812,0.9132812,0.9132663607597351,0.9908671975135803,0.3212740421295166
DeiT-Tiny,447,n03249569_39070_drum.jpg,Conventional LRP (z+),10.483102,5.624184,4.8589177,0.4635,46.35,46.35,0.5364999771118164,0.0
